    4    0 4.500000000E+09
  330    0    0    0    0    0    0    0    0
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 0.000000000E+00 1.101332832E+00 2.101411808E+00 3.101258954E+00 4.100301311E+00
 5.101083060E+00 6.100024037E+00 7.099750965E+00 8.099951029E+00 9.099407762E+00
 1.009952958E+01 1.109986296E+01 1.209987447E+01 1.309987623E+01 1.409966857E+01
 1.509968157E+01 1.609995895E+01 1.709993965E+01 1.809966540E+01 1.909972141E+01
 2.009974141E+01 2.109976215E+01 2.200730358E+01 2.309982076E+01 2.409981354E+01
 2.509982708E+01 2.609993680E+01 2.709989000E+01 2.809986172E+01 2.909988036E+01
 3.009988969E+01 3.109992773E+01 3.209991467E+01 3.309992525E+01 3.409993565E+01
 3.501309392E+01 3.609990956E+01 3.709995076E+01 3.809997046E+01 3.909997117E+01
 4.001329903E+01 4.109999506E+01 4.210000546E+01 4.309997154E+01 4.410006495E+01
 4.510003039E+01 4.610003818E+01 4.710004644E+01 4.810019422E+01 4.910037803E+01
 5.010006839E+01 5.110007631E+01 5.210005173E+01 5.310009154E+01 5.410006415E+01
 5.510010983E+01 5.610007782E+01 5.710012838E+01 5.810013733E+01 5.910014589E+01
 6.010001690E+01 6.110081533E+01 6.210016891E+01 6.310017684E+01 6.410002564E+01
 6.510097125E+01 6.610020464E+01 6.710021511E+01 6.809997611E+01 6.910089884E+01
 7.010024927E+01 7.110025959E+01 7.210050437E+01 7.310136519E+01 7.410028823E+01
 7.510029702E+01 7.610058591E+01 7.710155112E+01 7.810032576E+01 7.909997349E+01
 8.010131672E+01 8.110176115E+01 8.210036683E+01 8.309997085E+01 8.410194270E+01
 8.510040168E+01 8.610041325E+01 8.709996880E+01 8.810171329E+01 8.910044420E+01
 9.010045212E+01 9.110100189E+01 9.210240730E+01 9.310047685E+01 9.409995779E+01
 9.510201865E+01 9.610260623E+01 9.710050120E+01 9.810012453E+01 9.910274759E+01
 1.001005151E+02 1.011005170E+02 1.021013197E+02 1.031029114E+02 1.041005252E+02
 1.050881472E+02 1.061030292E+02 1.071005253E+02 1.081005213E+02 1.091014949E+02
