  100    0 4.600000000E+09
  374    0    0    0    0    0    0    0    0
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 0.000000000E+00 5.308870653E-01 1.049993942E+00 1.549983535E+00 2.013693325E+00
 2.549746632E+00 3.049767210E+00 3.549987860E+00 4.049873575E+00 4.549827977E+00
 5.049843808E+00 5.549857446E+00 6.049992101E+00 6.549959822E+00 7.049885548E+00
 7.549993377E+00 8.049974179E+00 8.549993835E+00 9.049968826E+00 9.549910458E+00
 1.004991591E+01 1.054999500E+01 1.104999777E+01 1.154999556E+01 1.204995723E+01
 1.254994007E+01 1.304994379E+01 1.354994712E+01 1.404995008E+01 1.454995268E+01
 1.504999700E+01 1.554997198E+01 1.604999732E+01 1.654996376E+01 1.704996653E+01
 1.754996917E+01 1.804997170E+01 1.854997412E+01 1.904999830E+01 1.951942382E+01
 2.004999959E+01 2.054999954E+01 2.104998165E+01 2.154998251E+01 2.204998329E+01
 2.254998401E+01 2.304998466E+01 2.354999883E+01 2.404999614E+01 2.454999880E+01
 2.504999877E+01 2.554998438E+01 2.604998415E+01 2.654998396E+01 2.704998380E+01
 2.754999870E+01 2.804999920E+01 2.854998423E+01 2.904999852E+01 2.954999847E+01
 3.004998065E+01 3.054998008E+01 3.104997956E+01 3.154997912E+01 3.204999829E+01
 3.254999892E+01 3.304998380E+01 3.354997583E+01 3.404997494E+01 3.454992579E+01
 3.504997331E+01 3.554997261E+01 3.604999770E+01 3.654998999E+01 3.704997056E+01
 3.754996989E+01 3.804996926E+01 3.854996867E+01 3.904996812E+01 3.954996760E+01
 4.004999728E+01 4.054999724E+01 4.104994756E+01 4.154990221E+01 4.204990082E+01
 4.254989953E+01 4.304996401E+01 4.354996359E+01 4.404996320E+01 4.454999687E+01
 4.504996627E+01 4.554999677E+01 4.602154102E+01 4.654996255E+01 4.704996282E+01
 4.754996291E+01 4.804996300E+01 4.854999668E+01 4.904991940E+01 4.954989897E+01
 5.004989969E+01 5.054990035E+01 5.104996424E+01 5.154996444E+01 5.204996461E+01
 5.254999667E+01 5.304992542E+01 5.354996601E+01 5.404996668E+01 5.454996732E+01
 5.504996791E+01 5.554996847E+01 5.604999683E+01 5.654999686E+01 5.704997340E+01
 5.754997149E+01 5.804997251E+01 5.854997348E+01 5.904997442E+01 5.954997532E+01
 6.004999719E+01 6.054999790E+01 6.104999717E+01 6.154998726E+01 6.204995342E+01
 6.254995762E+01 6.304998399E+01 6.354998539E+01 6.404999758E+01 6.454999349E+01
 6.504999025E+01 6.554999220E+01 6.604999244E+01 6.654999595E+01 6.704999775E+01
 6.754999949E+01 6.804999840E+01 6.855001601E+01 6.905002620E+01 6.955003231E+01
 7.005003833E+01 7.055001186E+01 7.105001395E+01 7.154999927E+01 7.205001375E+01
 7.255006972E+01 7.305007646E+01 7.355008317E+01 7.405002742E+01 7.455002976E+01
 7.505003210E+01 7.555000030E+01 7.605009359E+01 7.655012579E+01 7.705013335E+01
 7.755014087E+01 7.805004741E+01 7.855005001E+01 7.905000132E+01 7.955001632E+01
 8.005005783E+01 8.055006064E+01 8.105006344E+01 8.155006621E+01 8.205000208E+01
 8.254999924E+01 8.304999902E+01 8.355007795E+01 8.405008135E+01 8.455008476E+01
 8.505008817E+01 8.555009160E+01 8.605009504E+01 8.655000325E+01 8.705006832E+01
 8.755010503E+01 8.805010849E+01 8.855011197E+01 8.905011547E+01 8.955011900E+01
 9.005000421E+01 9.055008484E+01 9.105012912E+01 9.155013262E+01 9.205013613E+01
 9.255013966E+01 9.305014320E+01 9.355000494E+01 9.405004795E+01 9.455015317E+01
 9.505015661E+01 9.555016005E+01 9.605016350E+01 9.655016694E+01 9.705000532E+01
 9.755005648E+01 9.805017643E+01 9.855017967E+01 9.905018290E+01 9.955018613E+01
 1.000501893E+02 1.005500053E+02 1.010136224E+02 1.015501986E+02 1.020502010E+02
 1.025502039E+02 1.030502067E+02 1.035502096E+02 1.040500049E+02 1.045499956E+02
 1.050501966E+02 1.055502186E+02 1.060502210E+02 1.065502233E+02 1.070502256E+02
 1.075502278E+02 1.080500032E+02 1.085500415E+02 1.090500022E+02 1.095500021E+02
 1.100500020E+02 1.105500019E+02 1.110500017E+02 1.115500016E+02 1.120500525E+02
 1.125500002E+02 1.130500000E+02 1.135499998E+02 1.140499996E+02 1.145499994E+02
 1.150499992E+02 1.155500524E+02 1.160499976E+02 1.165499973E+02 1.170499971E+02
 1.175499969E+02 1.180499967E+02 1.185499964E+02 1.190500103E+02 1.195499946E+02
 1.200499943E+02 1.205499941E+02 1.210502335E+02 1.215502316E+02 1.220499934E+02
 1.225499893E+02 1.230502192E+02 1.235502228E+02 1.240502212E+02 1.245502194E+02
 1.250502176E+02 1.255502157E+02 1.260499897E+02 1.265500776E+02 1.270502076E+02
 1.275502053E+02 1.280502030E+02 1.285502006E+02 1.290501981E+02 1.295501956E+02
 1.300499865E+02 1.305501345E+02 1.310501860E+02 1.315501833E+02 1.320501807E+02
 1.325501779E+02 1.330501752E+02 1.335501725E+02 1.340499835E+02 1.345501177E+02
 1.350501626E+02 1.355501599E+02 1.360501573E+02 1.365501546E+02 1.370501520E+02
 1.375485602E+02 1.380466442E+02 1.385444094E+02 1.390501384E+02 1.395501361E+02
 1.400501341E+02 1.405501322E+02 1.410501305E+02 1.415501290E+02 1.420501277E+02
 1.425454797E+02 1.430405459E+02 1.435501234E+02 1.440501230E+02 1.445501227E+02
 1.450501226E+02 1.455501226E+02 1.460501228E+02 1.465501231E+02 1.470501235E+02
 1.475426119E+02 1.480499809E+02 1.485500866E+02 1.490501212E+02 1.495501207E+02
 1.500501206E+02 1.505501208E+02 1.510501212E+02 1.515501220E+02 1.520501229E+02
 1.525501241E+02 1.530393980E+02 1.535500944E+02 1.540501281E+02 1.545501302E+02
 1.550501325E+02 1.555501349E+02 1.560501374E+02 1.565501401E+02 1.570368678E+02
 1.575501419E+02 1.580501432E+02 1.585358402E+02 1.590212000E+02 1.595501443E+02
 1.600501471E+02 1.605501489E+02 1.610501509E+02 1.615501531E+02 1.620501554E+02
