  100    0 4.600000000E+09
 1006    0    0    0    0    0    0    0    0
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 0.000000000E+00 5.499717030E-01 1.049970734E+00 1.549999572E+00 2.049917133E+00
 2.549910391E+00 3.049917921E+00 3.549925593E+00 4.049933189E+00 4.549940517E+00
 5.049947420E+00 5.549953770E+00 6.049959479E+00 6.549964495E+00 7.049990207E+00
 7.549991332E+00 8.049998439E+00 8.549997079E+00 9.049993431E+00 9.549996738E+00
 1.004998999E+01 1.054999615E+01 1.105000269E+01 1.155000945E+01 1.205001631E+01
 1.255002317E+01 1.305002992E+01 1.355003652E+01 1.405001082E+01 1.455000189E+01
 1.505001272E+01 1.555005827E+01 1.605006381E+01 1.655001842E+01 1.705000315E+01
 1.755006013E+01 1.805009341E+01 1.855010208E+01 1.905011087E+01 1.955011967E+01
 2.005012840E+01 2.055013700E+01 2.105003939E+01 2.155004174E+01 2.205003835E+01
 2.255016711E+01 2.305017442E+01 2.355018250E+01 2.405005216E+01 2.455005471E+01
 2.505005124E+01 2.555022149E+01 2.605023229E+01 2.655024325E+01 2.705025422E+01
 2.755026515E+01 2.805027599E+01 2.855007857E+01 2.905000468E+01 2.954998530E+01
 3.004997685E+01 3.054996400E+01 3.104994830E+01 3.154992866E+01 3.204990342E+01
 3.254993947E+01 3.304979456E+01 3.354975694E+01 3.404981886E+01 3.454972814E+01
 3.504959405E+01 3.554939980E+01 3.604914053E+01 3.651634647E+01 3.700739296E+01
 3.753102845E+01 3.804745254E+01 3.854735105E+01 3.901020518E+01 3.945189427E+01
 3.995148109E+01 4.045117671E+01 4.095029828E+01 4.142752966E+01 4.194988087E+01
 4.244956842E+01 4.294939772E+01 4.344928083E+01 4.394942122E+01 4.444932586E+01
 4.494919436E+01 4.544916181E+01 4.594913756E+01 4.644911896E+01 4.694910420E+01
 4.744909212E+01 4.794908192E+01 4.844907309E+01 4.894906527E+01 4.944905822E+01
 4.994905179E+01 5.044904586E+01 5.094905240E+01 5.144903266E+01 5.194903031E+01
 5.244902593E+01 5.294902176E+01 5.344901774E+01 5.394901382E+01 5.444895041E+01
 5.494878347E+01 5.544876092E+01 5.594873735E+01 5.644871252E+01 5.694868613E+01
 5.744865788E+01 5.794862744E+01 5.844904953E+01 5.894902569E+01 5.944885778E+01
 5.994847561E+01 6.044842880E+01 6.094837722E+01 6.144832033E+01 6.194825730E+01
 6.244818713E+01 6.294810870E+01 6.344802069E+01 6.394792159E+01 6.444889819E+01
 6.494889210E+01 6.544888431E+01 6.594897623E+01 6.640245341E+01 6.694871054E+01
 6.741098425E+01 6.794870005E+01 6.842172124E+01 6.890064655E+01 6.944861579E+01
 6.994255029E+01 7.044494290E+01 7.094896716E+01 7.144880333E+01 7.194885427E+01
 7.244876637E+01 7.294866547E+01 7.344855145E+01 7.394842589E+01 7.444829167E+01
 7.494815332E+01 7.544801710E+01 7.594789113E+01 7.644778521E+01 7.694413589E+01
 7.744765692E+01 7.794770177E+01 7.844778946E+01 7.894794800E+01 7.944817887E+01
 7.991855767E+01 8.040736883E+01 8.091535750E+01 8.144296773E+01 8.194869142E+01
 8.244856519E+01 8.294851463E+01 8.344850021E+01 8.394851605E+01 8.444855453E+01
 8.494860740E+01 8.544866649E+01 8.594872420E+01 8.644877369E+01 8.694880896E+01
 8.744882480E+01 8.794881696E+01 8.844878229E+01 8.894871893E+01 8.944862651E+01
 8.995055558E+01 9.044852353E+01 9.094333693E+01 9.142084452E+01 9.194923501E+01
 9.244906842E+01 9.294921058E+01 9.344929977E+01 9.394934424E+01 9.444934949E+01
 9.495095565E+01 9.545177890E+01 9.595128657E+01 9.645082403E+01 9.695040514E+01
 9.745003011E+01 9.794969789E+01 9.844940662E+01 9.894915373E+01 9.944893629E+01
 9.994875108E+01 1.004485948E+02 1.009484642E+02 1.014483560E+02 1.019482674E+02
 1.024521428E+02 1.029517836E+02 1.034514627E+02 1.039511754E+02 1.044509185E+02
