  100    0 4.600000000E+09
  875    0    0    0    0    0    0    0    0
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 0.000000000E+00 5.501084100E-01 1.050026775E+00 1.550001644E+00 2.050158232E+00
 2.550331906E+00 3.050343824E+00 3.550355239E+00 4.050366068E+00 4.550376313E+00
 5.050385971E+00 5.550395043E+00 6.050156976E+00 6.550160394E+00 7.050163538E+00
 7.550040586E+00 8.050041244E+00 8.515237770E+00 9.050465046E+00 9.550444634E+00
 1.005044781E+01 1.055045032E+01 1.105045216E+01 1.155045332E+01 1.205045379E+01
 1.255045357E+01 1.305018013E+01 1.355017980E+01 1.405017915E+01 1.455004361E+01
 1.505001093E+01 1.555012958E+01 1.605043291E+01 1.655042709E+01 1.705042087E+01
 1.755041404E+01 1.805040662E+01 1.855039861E+01 1.905039003E+01 1.955015447E+01
 2.005015084E+01 2.055014696E+01 2.105003496E+01 2.155003391E+01 2.201092986E+01
 2.255033587E+01 2.305030356E+01 2.355029110E+01 2.405027835E+01 2.455026532E+01
 2.505025205E+01 2.555023854E+01 2.605022483E+01 2.655008845E+01 2.705008292E+01
 2.755007731E+01 2.805001762E+01 2.855000041E+01 2.905005314E+01 2.955005475E+01
 3.005004929E+01 3.055004388E+01 3.105003851E+01 3.155003319E+01 3.205002788E+01
 3.255002257E+01 3.305001724E+01 3.355001185E+01 3.405000637E+01 3.455000035E+01
 3.504999897E+01 3.554999341E+01 3.604997854E+01 3.654996781E+01 3.704995536E+01
 3.754994121E+01 3.804992543E+01 3.854990808E+01 3.904988926E+01 3.954986912E+01
 4.004984783E+01 4.054982560E+01 4.104995429E+01 4.154994860E+01 4.204999592E+01
 4.254980214E+01 4.304972567E+01 4.354971234E+01 4.404970047E+01 4.454968986E+01
 4.504968029E+01 4.554967160E+01 4.604966360E+01 4.654965613E+01 4.704964905E+01
 4.754964224E+01 4.804963556E+01 4.854990878E+01 4.904990705E+01 4.954961538E+01
 5.004960784E+01 5.054960006E+01 5.104959209E+01 5.154958412E+01 5.204957631E+01
 5.254956884E+01 5.304956189E+01 5.354955563E+01 5.404955026E+01 5.454954593E+01
