toric5               was called          1 times, total     345.56 secs
gloini               was called          1 times, total       8.95 secs
fftl_ini             was called          1 times, total       8.86 secs
equil                was called          1 times, total       0.02 secs
mhdcoe               was called       8763 times, total       0.02 secs
profnt               was called          1 times, total       0.00 secs
coords               was called       1221 times, total       0.02 secs
fftl_dir             was called      14862 times, total       0.00 secs
rescof               was called          1 times, total       0.08 secs
init zvec            was called          1 times, total       0.00 secs
pzgecopy_3to2        was called        359 times, total       0.00 secs
pzgefill             was called       1960 times, total       0.41 secs
pzgecopy_2to3        was called        146 times, total       0.00 secs
allocGk              was called          1 times, total       0.14 secs
allocFk              was called          1 times, total       0.14 secs
mblock               was called         72 times, total      47.48 secs
pzgecopy             was called        651 times, total       0.53 secs
mblock:inside plasma was called        216 times, total      47.02 secs
operev               was called        216 times, total      45.02 secs
eldibw               was called      60180 times, total       9.09 secs
direl_flr            was called      60180 times, total       9.00 secs
add_block_row_distri was called         72 times, total      53.23 secs
form rhs from zk     was called         72 times, total       0.00 secs
pzgetrf              was called         74 times, total       9.78 secs
pzgetrs,Gk=Ek\Bk     was called          1 times, total       0.34 secs
pzgetrs,yk=Ek\yk     was called         72 times, total       0.16 secs
yvec<-yk             was called         72 times, total       0.00 secs
putGk                was called         72 times, total       0.08 secs
pzgemm               was called         72 times, total      16.23 secs
pzgetrs,Gk=Ek\Gk     was called         71 times, total      24.55 secs
ykm1<-yvec           was called         71 times, total       0.00 secs
pzgemm,yk=yk-Ck*ykm1 was called         71 times, total       0.16 secs
pzgetrs,T1=T2\T1     was called          1 times, total       0.36 secs
pzgetrs,T3=T2\T3 2   was called          1 times, total       0.34 secs
pzgetrs,ycyc=T2\ycyc was called          2 times, total       0.00 secs
ptri_solve_replicate was called          1 times, total       0.41 secs
solve: xvec <- x_in  was called          1 times, total       0.00 secs
ptri_solve_distribut was called          1 times, total       0.23 secs
xvec<-xk             was called         72 times, total       0.00 secs
getGk                was called         71 times, total       0.05 secs
getFk                was called         71 times, total       0.11 secs
yk<-yvec             was called         71 times, total       0.00 secs
pzgemm, xk=xk-Gk*xkp was called         71 times, total       0.08 secs
solve: x_in <- xvec  was called          1 times, total       0.00 secs
deallocGk            was called          1 times, total       0.02 secs
deallocFk            was called          1 times, total       0.00 secs
elepwr               was called          1 times, total      43.94 secs
elefld               was called         21 times, total       0.30 secs
powtwd               was called         21 times, total      22.58 secs
